Key,English,Simplified_Chinese
PROPQUEST_REQUESTBOX_INC_000354,A request for $QUEST_END_ITEM_NAME$s has gone out. Will you accept this quest?,医务神官为了治疗受伤的人，委托了搜集制作绷带材料的“野人绷带”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000359,A request for Grrr Bandages has gone out.,医务神官为了制造绷带，委托了搜集野人绷带。
PROPQUEST_REQUESTBOX_INC_000370,A request for Amperes has gone out,矮人族为了制造手电筒，委托了搜集制作手电筒材料的“动力核心”。
PROPQUEST_REQUESTBOX_INC_000453,A request has gone out for Boopoison to make an antidote. Will you help?,医务神官为了制造麻醉药，委托了搜集麻醉药的材料“花兽毒剂”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000458,A request has gone out for $QUEST_END_ITEM_NAME$.,医务神官为了制造麻醉药，委托了搜集麻醉药的材料“花兽毒剂”
PROPQUEST_REQUESTBOX_INC_000519,A request has gone out for Rootioe to be used as woodworking material. Will you help?,木工所的材料极度缺发，木工所的员工委托了搜集“树精的根”，您要接受委托吗？
PROPQUEST_REQUESTBOX_INC_000366,You can get $QUEST_END_ITEM_NAME$ from any type of $QUEST_END_ITEM_MON$.,你可以从任意一种$QUEST_END_ITEM_MON$身上获取$QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000322,You can collect $QUEST_END_ITEM_NAME$ from all types of $QUEST_END_ITEM_MON$.,你可以从 $QUEST_END_ITEM_MON$ 身上收集到 $QUEST_END_ITEM_MON$。
PROPQUEST_REQUESTBOX_INC_000014,You can collect $QUEST_END_ITEM_NAME$ near a bridge in north.,你可以在北方的桥附近收集到$QUEST_END_ITEM_NAME$。
PROPQUEST_REQUESTBOX_INC_000025,You can collect Unknown Certificates near the Bangs.,诡异的证件可以在魔导战甲附近寻获喔。
