Key,English,Traditional_Chinese
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.",按住滑鼠右鍵或滾輪按鈕後，移動滑鼠或使用方向鍵，即可調整視角。
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.",按空白鍵可以在地面上跳躍，飛行時會使飛行器具停止或啟動。
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,任何職業都必須到達等級 20 級之後，才能飛行。飛行器可以找各城鎮的 [航空站] NPC 購買。
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.",生命不足之時，可選擇動作欄上的『坐下』來恢復生命。雖然耗費的時間較久，但是可以省下不少錢唷！
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.",角色死亡後，可選擇生命光塔回城復活。若要在死亡地點復活，請使用復活卷軸，或請他人對你施放復活術。
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.",食物、魔力補充劑及活力補充劑等物品，可恢復生命、魔力與活力。在一定數值以下使用時效果最好；超過該數值後，恢復量會減少。
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.",等級到達 15 級時，請盡快去進行轉職。因為見習生等級到達 15 級之後，不會再累積任何的經驗值了。
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,想取消目標，按鍵盤上的 ESC 鍵後，即可取消目標。
CLIENT_TIP_INC_000008,Troupe means Party.,『劇團』就是隊伍的意思。
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.",若想要使用技能，請先打開技能視窗 (熱鍵 K)，確定技能後，可以將技能設定到畫面下方 F1~F10 的熱鍵內使用。想要連續使用技能，只要在右側動作欄位裡，放入技能後，指定目標按下 C 鍵，就能夠連續使用技能。
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,若要使用疾刺連擊，必須先將裂鋼重擊放在連技欄的第一個位置。
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.",點選目標角色後，在選單中選擇「跟隨」，即可跟隨對方。也可按 Z 鍵跟隨已選取的目標。
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.",靠近角色後，才能開啟互動選單，使用公會、通訊、跟隨等功能。預設以滑鼠左鍵開啟，也可到「選項 > 遊戲 > 右鍵按下開啟玩家選單」啟用右鍵操作。
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,按下 X 鍵後，就會轉換成走路模式，再按一次後，就能夠再轉換回跑步模式。
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,雙擊怪物即可攻擊，也可在「選項 > 遊戲 > 點選攻擊」改為點選一次即攻擊。啟用「選項 > 遊戲 > 自動攻擊」後，普通攻擊會自動持續。
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,透過網路買賣金幣違反我們的政策！此行為會使你的帳號面臨風險，並可能遭到處分。
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,分享、提供或出售遊戲帳號是違反我們的政策。任何違規行為都可能導致永久終止相關的帳號。
