Key,English,Simplified_Chinese
MMI_0,Dialog,对话
MMI_1,Quest,任务
MMI_2,Trade,交易
MMI_3,Attack,攻击
MMI_4,Message,信息
MMI_5,Add to my list,添加好友
MMI_6,Invite to join party,剧团邀请
MMI_7,Invite to join guild,公会邀请
MMI_8,Place of Resurrection,设为复活点
MMI_9,Bank,个人仓库
MMI_10,Duel,申请对战
MMI_11,Request party duel,申请剧团对战
MMI_12,Follow,跟随
MMI_13,Beauty Shop,理发店
MMI_14,Repair,修理
MMI_15,Guild Bank,公会仓库
MMI_16,Guild Rankings,公会排名
MMI_17,Guild Duel Rankings,公会战排名
MMI_18,Guild Statistics Rankings,公会战总排名
MMI_21,Register Bounty,发出悬赏
MMI_22,Bounty List,查看悬赏名单
MMI_24,View equipment,查看装备
MMI_25,Mailbox,邮件
MMI_26,Apply,应用
MMI_27,Status,状态
MMI_28,Cancel,取消
MMI_29,Enter,加入
MMI_30,Ranking,排名
MMI_31,Cheer,鼓励
MMI_32,Remove piercing card,移除穿洞卡片
MMI_33,Lineup Setup,组织参加者
MMI_34,Claim Guild Penya,领取奖金和申请费
MMI_35,Reward Information,奖金信息
MMI_36,Claim MVP Penya Reward,领取MVP奖金
MMI_37,Participation Information,参加资格
MMI_38,Basic Rules,基本规则
MMI_39,Winning Conditions,获胜条件
MMI_40,Application Fee Information,委托信息
MMI_41,The refund of application fee,申请费退款
MMI_42,Cosmetic Upgrades,美容店
MMI_44,Rock-Paper-Scissors,小游戏(剪刀-石头-布)
MMI_49,Pet State,宠物状态
MMI_50,Un-summon pet,宠物解除
MMI_51,Create Shining Power Dice,制作闪亮的精炼骰子
MMI_53,Create Jewels,制作宝石
MMI_54,Create Unique Weapon,制作史诗武器
MMI_59,Remove Element,解除属性卡
MMI_71,Remove Level Reduction,移除降级效果
MMI_74,Get Buffed!,获取buff!
MMI_75,Exchange Rare Item Pieces,兑换稀有道具碎片
MMI_76,Exchange Card Pieces,兑换卡片碎片
MMI_79,Remove Premium Item Blessing,移除祝福效果
MMI_80,Enter Arena,传送到竞技场
MMI_81,Leave Arena,离开竞技场地区
MMI_82,Arena Ranking,竞技场排名
MMI_83,Arena Reward,竞技场奖励
MMI_91,Lord Ranking,领主排行
MMI_134,Upgrading,精炼
MMI_136,Piercing,穿洞精炼
MMI_167,Element Upgrading,属性精炼
MMI_142,Store Pet,收回宠物
MMI_272,Exchange RPS Coupon,兑换猜拳券
MMI_309,Card Upgrade,卡片合成
MMI_310,Weapon Socket Card Reshuffle,武器卡重随
MMI_311,Couple proposal,情侣申请
MMI_1000,Drop Filter,拾取过滤
MMI_1001,Report,举报
MMI_1002,Inspect,查看
MMI_1003,Unbinding,解绑
MMI_1004,Exchange,兑换
MMI_1005,Combat Power Ranking,战斗力排行榜
MMI_1006,Giant Hunt Ranking ,BOSS击杀排名 
MMI_1007,Accessory Upgrade,首饰精炼
MMI_1008,Mute,禁言
MMI_1009,Unmute,解除禁言
MMI_1010,Freeze,冻结
MMI_1011,Unfreeze,解除冻结
MMI_1012,Shadow Mute,不显示阴影
MMI_1013,Pet Candy Crafting,制作宠物糖果
MMI_1014,Exchange Dice,兑换骰子
MMI_1015,Pet Sacrificing,宠物献祭
MMI_1016,Red Chip Shop,红纸片商店
MMI_1017,Cosmetic Wardrobe,魔法衣橱
MMI_1018,Lv80 GS Apply,Lv80 公会战申请
MMI_1019,Lv80 GS Status,Lv80 公会战战况
MMI_1020,Lv80 GS Cancel,Lv80 公会战取消
MMI_1021,Lv80 GS Enter,Lv80 公会战入场
MMI_1022,Lv80 GS Lineup Setup,Lv80 公会战阵容
MMI_1023,Lv80 GS Ranking,Lv80 公会战排名
MMI_1024,Lv80 GS Information,Lv80 公会战信息
MMI_1025,Lv60 GS Apply,Lv60 公会战申请
MMI_1026,Lv60 GS Status,Lv60 公会战战况
MMI_1027,Lv60 GS Cancel,Lv60 公会战取消
MMI_1028,Lv60 GS Enter,Lv60 公会战入场
MMI_1029,Lv60 GS Lineup Setup,Lv60 公会战阵容
MMI_1030,Lv60 GS Ranking,Lv60 公会战排名
MMI_1031,Lv60 GS Information,Lv60 公会战信息
MMI_1032,Blue Chip Shop,蓝纸片商店
MMI_1033,Valentine's Letter Exchange,情书兑换
MMI_1034,Dungeon,副本
MMI_1035,PK Chip Shop,PK纸片商店
MMI_1036,Exchange,兑换
MMI_1037,Green Chip Shop,绿纸片商店
MMI_1038,FWC Gear Exchange,FWC 装备兑换
MMI_1039,FWC Jewel Exchange,FWC 宝石兑换
MMI_1040,Use Capsule Coins,胶囊抽奖
MMI_1041,Music Festival Exchange,音乐节兑换
MMI_1042,Fitting Room,试衣间
MMI_1043,FWC PVP Registrations Board,FWC PVP 报名板
MMI_1047,Join FWC PVP Arena,加入 FWC PVP 竞技场
MMI_1046,FWC PVP Ranking,FWC PVP 排行榜
MMI_1048,Spectate FWC PVP Contest,观看 FWC PVP 比赛
MMI_1049,Rock Paper Scissors,猜拳游戏
MMI_1050,W-Token Shop,W-代币商店
MMI_1051,Costume Box Upgrade,礼盒精炼
MMI_1054,Exchange Rings,兑换戒指
MMI_1055,Dismantle Item,分解道具
MMI_1056,Purchase Guild Ship,购买公会船
MMI_1057,Enter Guild Ship,进入公会船
MMI_1058,Enter Your House,进入你的房屋
MMI_1059,Select House Template,选择房屋模板
MMI_1060,Visit Friend's House,参观朋友的房屋
MMI_1061,Edit,编辑
MMI_1062,Remove,移除
MMI_1063,Exchange Earrings,兑换耳环
MMI_1064,Exchange Necklaces,兑换项链
MMI_1065,Rainbow Race,彩虹竞赛
MMI_1066,Create Ultimate Weapon,制作终极武器
MMI_1069,Open Guest Book,打开留言簿
MMI_1070,Orphanage Keeper Shop,孤儿院管理员商店
MMI_1071,Kalgas Assault Registration,卡尔加斯突袭报名
MMI_1072,Kalgas Assault Enter,卡尔加斯突袭入场
MMI_1073,Kalgas Assault Rank,卡尔加斯突袭排名
MMI_1074,Kalgas Assault Info,相关信息
MMI_1075,Kalgas Chip Shop,卡尔加斯纸片商店
MMI_1076,Couple's Storage,情侣仓库
MMI_1077,Create Ultimate Jewel,制作终极珠宝
MMI_1078,Fuse Ultimate Jewel,融合终极珠宝
MMI_1079,Teleport,传送
MMI_1080,Sea Shell Upgrading,贝壳升级
MMI_1081,Fuse Rainbow Jewel,彩虹宝石合成
MMI_1082,Dismantle Rainbow Jewel,彩虹宝石拆解
MMI_1083,Pet Training,宠物驯练
MMI_1084,Teleport,传送
MMI_1085,Individual Race (Item),个人竞速 (道具赛)
MMI_1086,Individual Race (Speed),个人竞速 (竞速赛)
MMI_1087,Duo Team Race (Item),双人组队竞速 (道具赛)
MMI_1088,Duo Team Race (Speed),双人组队竞速 (竞速赛)
MMI_1089,Sit,坐下
MMI_1090,Sleep,睡觉
MMI_1091,Yellow Chip Shop,黄纸片商店
MMI_1092,Madrigal Tournament Registration,瑞加锦标赛报名
MMI_1093,Enter Madrigal Tournament,进入瑞加锦标赛
MMI_1094,Madrigal Tournament Ranking,瑞加大陆锦标赛排名
MMI_1095,Madrigal Tournament Reward,瑞加大陆锦标赛奖励
MMI_1096,Madrigal Tournament Bidding,瑞加大陆锦标赛竞猜
MMI_1097,Remove Ultimate Jewel,移除终极珠宝
MMI_1098,Customize,自定义
MMI_1099,Enter Couple House,进入情侣小屋
MMI_1100,Select Couple House Template,选择情侣小屋模板
MMI_1101,Wandering Shop,流浪商店
MMI_1102,Master Chip Shop - Alchemy,大师纸片商店 - 炼金
MMI_1103,Product Upgrade,道具升级
MMI_1104,Life Mastery Ranking,生活技能熟练度排名
MMI_1105,Life Mastery Ranking Reward,生活技能熟练度排名奖励
MMI_1106,Alchemy,炼金术
MMI_1107,Cooking,烹饪
MMI_1108,Carpentry,木工
MMI_1109,Smithing,锻造
MMI_1110,Enter Race,进入比赛
MMI_1111,Master Chip Shop - Cooking,大师纸片商店 - 烹饪
MMI_1112,Master Chip Shop - Carpentry,大师纸片商店 - 木工
MMI_1113,Master Chip Shop - Smithing,大师纸片商店 - 锻造
MMI_1115,Join Boss Raid,加入Boss 攻坚
MMI_1120,3rd Anniversary Egg Upgrade Event,三周年彩蛋升级活动
MMI_1121,Champion Coin Exchange,冠军币兑换
MMI_1116,Synthesize Ultimate Jewel,终极宝石合成
MMI_1117,Convert Ultimate Jewel,终极宝石转化
MMI_2025,PTS Exchange (Equipment),PTS 兑换 (装备)
MMI_2026,Give Feedback,提供反馈
MMI_2027,PTS Exchange (Materials),PTS 兑换 (材料)
MMI_2028,PTS Exchange (Essentials),PTS 兑换 (必需品)
MMI_2029,PTS Exchange (Jewelry),PTS 兑换 (珠宝首饰)
MMI_2030,PTS Exchange (Other Equipment),PTS 兑换 (其他装备)
MMI_2031,Reset Cooldowns,重置冷却
MMI_2032,PTS Exchange (New Equipment),PTS 兑换 (新装备)
MMI_2033,Item Exchange,道具兑换
MMI_1118,The Last Beacon,最后的信标
MMI_1119,Re-join Last Beacon match,重新加入最后的信标匹配
MMI_1122,Lv165 GS Apply,Lv165 公会战申请
MMI_1123,Lv165 GS Status,Lv165 公会战战况
MMI_1124,Lv165 GS Cancel,Lv165 公会战取消
MMI_1125,Lv165 GS Join,Lv165 公会战入场
MMI_1126,Lv165 GS Line Up,Lv165 公会战阵容
MMI_1127,Lv165 GS Ranking,Lv165 公会战排名
MMI_1128,Lv165 GS Information,Lv165 公会战信息
MMI_1129,Yellow Chip Shop 2,黄纸片商店 2
MMI_1130,Red Chip Shop 2,红纸片商店 2
MMI_1131,Kalgas Chip Shop 2,卡尔加斯纸片商店 2
MMI_1132,Mysterious Castle Enter,进入神秘城堡
MMI_1133,Mysterious Castle Reward,神秘城堡奖励
MMI_1134,Kebaras 2 Costumes,卡巴拉斯 2时装
