Key,English,Traditional_Chinese
CLIENT_FAQ_INC_000000,How can I be resurrected?,要如何復活？
CLIENT_FAQ_INC_000001,"You can revive in the nearest town by choosing 'Lodestar' in the revive window. If you have a 'Scroll of Resurrection' or a resurrection skill is cast on you, you can revive instantly on the place you died.",角色死亡後，可在復活視窗選擇「生命光塔」，於最近的城鎮復活。若持有「復活卷軸」，或有人對你施放復活技能，即可在死亡地點立即復活。
CLIENT_FAQ_INC_000002,Where are the monsters?,怪物在哪裡？
CLIENT_FAQ_INC_000003,They are out in the fields. Make sure to fight only those that you can handle.,怪物出沒於野外，請挑選自己有能力應付的敵人。
CLIENT_FAQ_INC_000004,How can I designate a target and deselect it?,如何選定或取消目標呢？
CLIENT_FAQ_INC_000005,"Double click a target with your mouse to attack it, click once just to target it, and click ESC to deselect it.",以滑鼠點選一次可選取目標，雙擊目標即可攻擊，按 Esc 鍵可取消選取。
CLIENT_FAQ_INC_000006,How can I attack continuously?,如何進行連續攻擊？
CLIENT_FAQ_INC_000007,Ensure that the Auto Attack setting in checked in the Option Window.,請確認已在選項視窗中勾選「自動攻擊」設定。
CLIENT_FAQ_INC_000008,How do you use the skills?,如何使用技能？
CLIENT_FAQ_INC_000009,Press K for the Skills menu and drag skill icons that you want to use into the action slot on the lower right side of your screen.,按 K 鍵開啟技能選單，將想使用的技能圖示拖曳至畫面右下方的連技欄。
CLIENT_FAQ_INC_000010,How do you use the skills continuously?,如何連續使用技能？
CLIENT_FAQ_INC_000011,Place skills in the action slot and press C when targeting something to use those skills. Moves that are shaped like puzzle pieces need to be placed together.,將技能放入連技欄，選取目標後按 C 鍵即可依序施放。拼圖形狀的技能必須依相接的形狀排列。
CLIENT_FAQ_INC_000012,How do I gain my health back?,如何恢復生命值？
CLIENT_FAQ_INC_000013,Food and certain other items will restore your health when you double click them. The amount of HP each item restores is noted in the item description.,雙擊食物或特定道具即可恢復生命值，各物品的恢復量可在道具說明中查看。
CLIENT_FAQ_INC_000014,How do I get a Job?,如何轉職？
